,latitude,longitude
738,46.5,-113.75
739,35.0,-121.25
740,38.5,-123.75
741,47.0,-115.0
742,37.0,-111.25
743,40.0,-120.625
744,33.0,-115.625
745,39.0,-118.75
746,39.5,-118.75
747,42.5,-113.75
748,42.5,-106.25
749,32.0,-110.625
750,40.5,-116.875
751,32.5,-121.875
752,35.0,-107.5
753,32.0,-113.75
754,47.0,-119.375
755,36.5,-118.75
756,41.0,-124.375
757,46.5,-116.875
758,37.5,-119.375
759,48.5,-114.375
760,,
761,,
762,40.0,-118.75
763,34.0,-119.375
764,34.5,-114.375
765,36.5,-119.375
766,40.5,-111.875
767,33.5,-118.75
768,44.5,-109.375
769,45.0,-123.75
770,41.0,-121.25
771,37.5,-106.875
772,32.5,-118.125
773,39.5,-123.75
774,47.0,-118.75
775,44.5,-111.25
776,35.0,-115.0
777,44.5,-119.375
778,36.5,-112.5
779,,
780,40.5,-125.0
781,41.0,-114.375
782,36.5,-125.0
783,,
784,42.5,-111.25
785,46.0,-124.375
786,,
787,44.5,-125.0
788,33.0,-121.25
789,39.0,-108.75
790,49.0,-122.5
791,48.0,-111.25
792,35.5,-123.125
793,35.0,-120.0
794,38.5,-115.625
795,40.0,-106.25
796,33.0,-108.125
797,40.0,-110.0
798,44.0,-116.875
799,44.0,-115.0
800,46.5,-121.875
801,35.0,-118.125
802,34.0,-121.25
803,38.5,-113.125
804,48.5,-113.75
805,34.0,-120.625
806,,
807,35.5,-112.5
808,31.5,-111.25
809,,
810,48.0,-113.125
811,43.0,-119.375
812,38.5,-109.375
813,41.0,-115.625
814,48.5,-110.0
815,,
816,37.0,-117.5
817,47.5,-119.375
818,34.0,-125.0
819,,
820,,
821,35.0,-111.25
822,,
823,,
824,43.5,-106.875
825,38.0,-111.875
826,49.5,-110.625
827,36.5,-115.0
828,33.0,-110.625
829,48.5,-108.75
830,,
831,34.0,-117.5
832,38.0,-117.5
833,37.0,-121.25
834,49.5,-111.25
835,33.5,-121.875
836,36.5,-121.25
837,43.0,-108.75
838,37.0,-121.875
839,,
840,,
841,,
842,35.5,-116.25
843,44.5,-115.0
844,38.0,-119.375
845,,
846,44.5,-122.5
847,39.5,-121.875
848,49.5,-109.375
849,35.5,-106.875
850,44.5,-123.125
851,32.0,-121.25
852,41.0,-116.875
853,39.5,-124.375
854,38.5,-118.75
855,44.5,-112.5
856,31.5,-123.125
857,46.0,-125.0
858,49.0,-121.25
859,,
860,,
861,44.0,-109.375
862,40.0,-106.875
863,,
864,33.5,-116.25
865,40.5,-123.75
866,45.0,-111.25
867,34.5,-107.5
868,34.0,-115.625
869,39.0,-110.0
870,34.0,-113.75
871,33.0,-122.5
872,38.0,-118.75
873,44.5,-111.875
874,32.0,-118.125
875,44.5,-116.875
876,32.5,-123.75
877,38.5,-125.0
878,37.5,-116.875
879,44.5,-120.0
880,39.0,-124.375
881,33.0,-106.875
882,34.0,-114.375
883,46.0,-113.125
884,33.5,-114.375
885,36.0,-108.75
886,39.0,-110.625
887,38.0,-113.125
888,38.5,-111.875
889,39.0,-112.5
890,33.5,-119.375
891,,
892,40.0,-116.875
893,36.0,-110.625
894,36.5,-122.5
895,,
896,,
897,48.0,-113.75
898,39.0,-121.875
899,38.0,-109.375
900,34.5,-116.875
901,34.5,-108.125
902,34.0,-122.5
903,35.0,-122.5
904,31.5,-113.125
905,47.5,-124.375
906,36.5,-111.875
907,32.0,-106.875
908,42.5,-110.0
909,32.5,-118.75
910,34.0,-116.25
911,49.0,-123.125
912,39.5,-110.625
913,45.0,-114.375
914,34.5,-113.75
915,39.0,-106.25
916,47.0,-113.125
917,31.5,-116.25
918,31.5,-124.375
919,,
920,37.5,-121.25
921,38.0,-120.0
922,47.0,-120.0
923,35.5,-113.125
924,43.0,-123.75
925,,
926,46.0,-111.875
927,,
928,32.5,-117.5
929,44.5,-118.75
930,,
931,,
932,47.0,-116.25
933,38.0,-121.875
934,48.0,-123.125
935,35.5,-120.625
936,46.5,-108.125
937,41.0,-108.125
938,33.0,-107.5
939,36.0,-123.125
