,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
967,1.9,1.5,1.5,36.087426,-115.175381,1.0
968,30.0,30.0,30,40.863809,-105.0111,1.0
969,100.0,100.0,100,35.348,-114.97,1.0
970,20.0,20.0,20,32.0628,-109.919283,1.0
971,20.0,20.0,20,34.821453,-118.497406,1.0
972,60.0,60.0,60,35.20473,-118.06875,1.0
973,4.0,4.0,4,36.2647,-117.9955,1.0
974,50.0,50.0,41,33.053,-111.34,1.0
975,5.0,4.1,2.7,33.5226,-117.1815,1.0
976,2.2,2.2,2.2,37.92,-122.344,1.0
977,80.0,80.0,80,37.827082,-113.137082,1.0
978,40.0,40.0,40,43.444,-116.333,1.0
979,1.0,1.0,1,35.534584,-119.060029,1.0
980,50.0,50.0,50,39.1625,-112.343,1.0
981,1.1,1.1,1.1,36.102307,-119.566516,1.0
982,40.0,40.0,40,32.551026,-111.289232,1.0
983,20.0,20.0,20,34.678305,-118.302649,1.0
984,20.0,20.0,20,34.681338,-118.314087,1.0
985,20.0,20.0,20,34.667817,-118.298089,1.0
986,20.0,20.0,20,34.541,-117.061,1.0
987,20.0,20.0,20,35.314198,-118.81192,1.0
988,2.0,2.0,2,40.579472,-104.895675,1.0
989,3.0,2.3,2.3,33.2503,-117.0226,1.0
990,10.0,10.0,10,38.602102,-104.694688,1.0
991,3.0,3.0,3,33.2704,-117.0588,1.0
992,9.9,9.9,9.9,44.06803,-121.22838,1.0
993,20.0,20.0,20,33.618678,-114.696182,1.0
994,54.0,54.0,54,34.839012,-118.386843,1.0
995,54.0,54.0,54,34.839012,-118.386843,1.0
996,4.4,4.4,4.4,35.304528,-114.01183,1.0
997,8.0,8.0,8,42.175,-120.3598,1.0
998,19.8,18.5,18.5,36.527,-120.149,1.0
999,1.0,1.0,1,32.269,-110.975,1.0
1000,1.0,1.0,1,32.374,-110.974,1.0
1001,0.1,0.1,0.1,32.374,-110.974,1.0
1002,0.2,0.2,0.2,32.374,-110.974,1.0
1003,0.2,0.2,0.2,32.374,-110.974,1.0
1004,1.5,1.5,1.5,40.232146,-104.791865,1.0
1005,1.7,1.7,1.7,40.609968,-103.145084,1.0
1006,1.5,1.5,1.5,37.195886,-105.982424,1.0
1007,1.8,1.8,1.8,39.638358,-104.674249,1.0
1008,1.5,1.5,1.5,39.784937,-104.583391,1.0
1009,1.8,1.8,1.8,39.765479,-104.588631,1.0
1010,3.0,2.9,2.4,32.79411,-115.779317,1.0
1011,2.0,1.9,1.6,32.792038,-115.773448,1.0
1012,20.0,20.0,20,43.288439,-115.955371,1.0
1013,12.8,12.8,12.8,39.795,-104.433,1.0
1014,3.0,3.0,3,34.038433,-117.565802,1.0
1015,2.0,2.0,2,33.555267,-116.639647,1.0
1016,1.5,1.5,1.5,38.284425,-104.523951,1.0
1017,1.3,1.3,1.3,41.098957,-111.982167,1.0
1018,2.8,2.8,2.8,33.243261,-111.892354,1.0
1019,1.4,1.4,1.4,33.243261,-111.892354,1.0
1020,1.0,1.0,1,33.708661,-116.198885,1.0
1021,74.8,74.8,74.8,33.540124,-115.974771,1.0
1022,3.8,3.8,3.8,38.390756,-121.94777,1.0
1023,2.3,2.3,2.3,38.390756,-121.94777,1.0
1024,1.1,1.1,1.1,38.601354,-121.397929,1.0
1025,2.7,2.7,2.7,38.565,-121.343,1.0
1026,9.5,9.5,9.5,34.511889,-117.922819,1.0
1027,50.0,50.0,50,35.85,-114.944,1.0
1028,20.0,20.0,20,39.154474,-112.359849,1.0
1029,3.0,2.3,1.5,33.766067,-118.284733,1.0
1030,20.0,20.0,20,32.6212,-116.12896,1.0
1031,1.0,1.0,1,36.275144,-118.012151,1.0
1032,20.0,20.0,20,32.068141,-109.890379,1.0
1033,20.0,20.0,20,36.376889,-120.138472,1.0
1034,9.9,9.9,9.9,44.061,-121.228,1.0
1035,1.0,1.0,1,33.87912,-117.8887,1.0
1036,1.9,1.9,1.9,33.87912,-117.8887,1.0
1037,20.0,20.0,20,36.381775,-120.134486,1.0
1038,1.9,1.9,1.9,32.729444,-117.205083,1.0
1039,4.3,3.7,3.6,33.018486,-116.860713,1.0
1040,2.0,2.0,2,32.098492,-110.819119,1.0
1041,7.0,7.0,7,38.690186,-121.586514,1.0
1042,10.5,10.5,10.5,37.945296,-122.377202,1.0
1043,56.3,56.0,56,44.1843,-120.918,1.0
1044,50.0,50.0,49,38.546947,-118.19156,1.0
1045,1.3,1.3,1.3,32.146142,-110.990639,1.0
1046,1.0,1.0,1,37.84013,-121.216191,1.0
1047,1.0,1.0,1,35.761217,-119.344408,1.0
1048,5.3,5.3,5.3,35.324982,-118.981522,1.0
1049,1.0,1.0,1,35.330032,-118.993119,1.0
1050,3.0,3.0,2.7,37.658223,-113.216679,1.0
1051,3.0,3.0,2.7,37.666772,-113.188953,1.0
1052,3.0,3.0,2.7,37.649816,-113.236928,1.0
1053,5.2,5.2,5.2,38.645961,-121.162623,1.0
1054,1.9,1.9,1.9,31.86673,-107.587513,1.0
1055,1.0,1.0,1,36.068926,-115.280825,1.0
1056,1.5,1.5,1.5,40.215399,-75.28309,1.0
1057,1.2,1.2,1.2,33.447225,-112.217664,1.0
1058,10.0,10.0,10,42.022336,-121.418873,1.0
1059,252.3,252.3,252.3,32.678805,-115.56721,1.0
1060,3.5,3.5,3.5,38.448604,-121.46369,1.0
1061,3.0,3.0,3,34.597,-117.931,1.0
1062,3.0,3.0,3,34.654976,-118.08215,1.0
1063,2.9,2.9,2.9,33.766067,-118.288925,1.0
1064,10.7,10.7,10.7,33.977922,-118.2587,1.0
